Date,Average
2016-02-22,22.0
2016-02-23,22.0
2016-02-24,22.0
2016-02-25,22.0
2016-02-26,22.0
2016-02-27,24.0
2016-02-28,22.0
2016-02-29,22.0
2016-03-01,22.0
2016-03-02,22.0
2016-03-03,24.48867835760392
2016-03-04,22.0
2016-03-05,22.0
2016-03-06,22.0
2016-03-07,22.0
2016-03-08,23.0
2016-03-09,22.0
2016-03-10,22.0
2016-03-11,22.0
2016-03-12,23.0
2016-03-13,23.0
2016-03-14,23.873433140567062
2016-03-15,22.0
2016-03-16,22.0
2016-03-17,22.0
2016-03-18,22.0
2016-03-19,23.0
2016-03-20,22.0
2016-03-21,22.0
2016-03-22,23.0
2016-03-23,22.0
2016-03-24,22.0
2016-03-25,22.0
2016-03-26,22.0
2016-03-27,22.0
2016-03-28,22.0
2016-03-29,22.0
2016-03-30,22.0
2016-03-31,22.0
2016-04-01,22.0
2016-04-02,23.0
2016-04-03,22.0
2016-04-04,22.0
2016-04-05,22.0
2016-04-06,22.0
2016-04-07,21.0
2016-04-08,21.0
2016-04-09,21.0
2016-04-10,23.0
2016-04-11,24.0
2016-04-12,24.0
2016-04-13,23.0
2016-04-14,28.0
2016-04-15,27.0
2016-04-16,26.0
2016-04-17,28.0
2016-04-18,28.0
2016-04-19,28.0
2016-04-20,28.0
2016-04-21,28.0
2016-04-22,28.0
2016-04-23,24.0
2016-04-24,26.0
2016-04-25,28.0
2016-04-26,28.0
2016-04-27,28.0
2016-04-28,27.0
2016-04-29,28.0
2016-04-30,28.0
2016-05-01,27.0
2016-05-02,31.0
2016-05-03,31.0
2016-05-04,30.0
2016-05-05,30.0
2016-05-06,30.0
2016-05-07,30.0
2016-05-08,30.0
2016-05-09,33.0
2016-05-10,33.0
2016-05-11,33.0
2016-05-12,33.0
2016-05-13,38.0
2016-05-14,38.0
2016-05-15,38.0
2016-05-16,38.0
2016-05-17,35.0
2016-05-18,36.0
2016-05-19,36.0
2016-05-20,35.0
2016-05-21,34.0
2016-05-22,35.0
2016-05-23,35.0
2016-05-24,38.0
2016-05-25,35.0
2016-05-26,35.0
2016-05-27,33.0
2016-05-28,35.0
2016-05-29,35.0
2016-05-30,35.0
2016-05-31,35.0
2016-06-01,35.0
2016-06-02,36.0
2016-06-03,35.0
2016-06-04,34.0
2016-06-05,35.0
2016-06-06,35.0
2016-06-07,35.0
2016-06-08,35.0
2016-06-09,36.0
2016-06-10,35.0
2016-06-11,35.0
2016-06-12,35.0
2016-06-13,34.0
2016-06-14,36.0
2016-06-15,36.0
2016-06-16,36.0
2016-06-17,35.0
2016-06-18,35.0
2016-06-19,35.0
2016-06-20,35.0
2016-06-21,35.0
2016-06-22,35.0
2016-06-23,35.0
2016-06-24,35.0
2016-06-25,36.0
